CARRIER,Date,TOTAL_RECORDS,ONTIME,P_ONTIME,CANCELLED,P_CANCELLED,DIVERTED,P_DIVERTED,AIR CARRIER DELAY,P_AIR_Carrier_Delay,EXTREME WEATHER DELAY,P_EXTREME_WEATHER_DELAY,NATIONAL AVIATION SYSTEM DELAY,P_NATIONAL_AVIATION_SYSTEM_DELAY,SECURITY DELAY,P_SECURITY_DELAY,LATE ARRIVING AIRCRAFT DELAY,P_LATE_ARRIVING_AIRCRAFT_DELAY
ALASKA,Apr-17,13346,10350,0.7755,294,0.0220,58,0.0043,579,0.0434,91,0.0068,"1,238",0.0928,9,0.0007,726,0.0544
AMERICAN,Apr-17,67123,57171,0.8517,791,0.0118,115,0.0017,2822,0.0420,140,0.0021,"3,730",0.0556,12,0.0002,"2,341",0.0349
DELTA,Apr-17,65313,58434,0.8947,356,0.0055,95,0.0015,2139,0.0327,314,0.0048,"2,372",0.0363,3,0.0000,"1,600",0.0245
EXPRESSJET,Apr-17,30444,25074,0.8236,657,0.0216,92,0.0030,1520,0.0499,53,0.0017,"1,271",0.0417,0,0.0000,"1,778",0.0584
FRONTIER,Apr-17,6710,5520,0.8227,51,0.0076,14,0.0021,307,0.0458,9,0.0013,428,0.0638,0,0.0000,381,0.0568
HAWAIIAN,Apr-17,5789,4528,0.7822,13,0.0022,5,0.0009,466,0.0805,131,0.0226,38,0.0066,2,0.0003,606,0.1047
JETBLUE,Apr-17,22511,16277,0.7231,985,0.0438,77,0.0034,1590,0.0706,86,0.0038,"1,650",0.0733,13,0.0006,"1,832",0.0814
SKYWEST,Apr-17,46953,37483,0.7983,1115,0.0237,233,0.0050,1826,0.0389,283,0.0060,"2,757",0.0587,11,0.0002,"3,244",0.0691
SOUTHWEST,Apr-17,95741,78853,0.8236,1301,0.0136,157,0.0016,3567,0.0373,392,0.0041,"4,413",0.0461,8,0.0001,"7,050",0.0736
SPIRIT,Apr-17,11443,9335,0.8158,199,0.0174,16,0.0014,406,0.0355,20,0.0017,"1,043",0.0911,4,0.0003,420,0.0367
UNITED,Apr-17,40004,32615,0.8153,370,0.0092,78,0.0019,1924,0.0481,174,0.0043,"2,755",0.0689,1,0.0000,"2,087",0.0522
VIRGIN AMERICA,Apr-17,5140,3321,0.6461,180,0.0350,40,0.0078,193,0.0375,211,0.0411,678,0.1319,4,0.0008,512,0.0996
TOTAL,Apr-17,410517,338961,0.8257,6312,0.0154,980,0.0024,17339,0.0422,1904,0.0046,22373,0.0545,67,0.0002,22577,0.0550
ALASKA,May-17,15422,12300,0.7976,98,0.0064,49,0.0032,666,0.0432,40,0.0026,1415,0.0918,14,0.0009,840,0.0545
AMERICAN,May-17,78114,62642,0.8019,1225,0.0157,134,0.0017,4149,0.0531,245,0.0031,5346,0.0684,32,0.0004,4340,0.0556
DELTA,May-17,79070,68721,0.8691,439,0.0056,137,0.0017,3049,0.0386,384,0.0049,3638,0.0460,5,0.0001,2698,0.0341
EXPRESSJET,May-17,35235,26691,0.7575,1284,0.0364,81,0.0023,2309,0.0655,60,0.0017,1962,0.0557,0,0.0000,2847,0.0808
FRONTIER,May-17,7745,6142,0.7930,91,0.0117,4,0.0005,367,0.0474,17,0.0022,567,0.0732,0,0.0000,557,0.0719
HAWAIIAN,May-17,6596,5589,0.8473,23,0.0035,7,0.0011,496,0.0752,74,0.0112,13,0.0020,5,0.0008,389,0.0590
JETBLUE,May-17,25975,18401,0.7084,1018,0.0392,31,0.0012,1989,0.0766,62,0.0024,2164,0.0833,13,0.0005,2296,0.0884
SKYWEST,May-17,58100,45629,0.7854,1110,0.0191,190,0.0033,2499,0.0430,355,0.0061,3476,0.0598,10,0.0002,4831,0.0831
SOUTHWEST,May-17,115144,91664,0.7961,2111,0.0183,184,0.0016,5107,0.0444,457,0.0040,5409,0.0470,26,0.0002,10185,0.0885
SPRIT,May-17,12882,9665,0.7503,321,0.0249,19,0.0015,649,0.0504,37,0.0029,1464,0.1136,6,0.0005,722,0.0560
UNITED,May-17,48497,39262,0.8096,663,0.0137,68,0.0014,2275,0.0469,140,0.0029,3371,0.0695,0,0.0000,2719,0.0561
VIRGIN AMERICA,May-17,5817,3810,0.6550,144,0.0248,13,0.0022,289,0.0497,95,0.0163,768,0.1320,4,0.0007,695,0.1195
TOTAL,May-17,488597,390516,0.7992,8527,0.0175,917,0.0019,23844,0.0488,1966,0.0040,29593,0.0606,115,0.0002,33119,0.0678
ALASKA,Jun-17,15261,12453,0.8160,62,0.0041,40,0.0026,577,0.0378,28,0.0018,1327,0.0870,11,0.0007,763,0.0500
AMERICAN,Jun-17,73656,57950,0.7868,745,0.0101,142,0.0019,3960,0.0538,361,0.0049,5765,0.0783,25,0.0003,4708,0.0639
DELTA,Jun-17,77046,59225,0.7687,3151,0.0409,177,0.0023,4693,0.0609,1390,0.0180,4024,0.0522,7,0.0001,4378,0.0568
EXPRESSJET,Jun-17,30789,23292,0.7565,911,0.0296,102,0.0033,2000,0.0650,85,0.0028,1886,0.0613,0,0.0000,2513,0.0816
FRONTIER,Jun-17,7801,6203,0.7952,27,0.0035,9,0.0012,335,0.0429,14,0.0018,673,0.0863,0,0.0000,540,0.0692
HAWAIIAN,Jun-17,6470,5746,0.8881,13,0.0020,3,0.0005,437,0.0675,22,0.0034,10,0.0015,0,0.0000,238,0.0368
JETBLUE,Jun-17,25191,18240,0.7241,374,0.0148,41,0.0016,1899,0.0754,53,0.0021,2111,0.0838,17,0.0007,2456,0.0975
SKYWEST,Jun-17,56210,44945,0.7996,914,0.0163,122,0.0022,2496,0.0444,285,0.0051,3040,0.0541,8,0.0001,4400,0.0783
SOUTHWEST,Jun-17,112223,89213,0.7950,844,0.0075,211,0.0019,5428,0.0484,457,0.0041,5238,0.0467,12,0.0001,10819,0.0964
SPIRIT,Jun-17,12544,9663,0.7703,229,0.0183,17,0.0014,603,0.0481,33,0.0026,1293,0.1031,6,0.0005,700,0.0558
UNITED,Jun-17,45541,37287,0.8188,34,0.0007,84,0.0018,1876,0.0412,129,0.0028,3718,0.0816,0,0.0000,2413,0.0530
VIRGIN AMERICA,Jun-17,5597,3617,0.6462,94,0.0168,6,0.0011,227,0.0406,111,0.0198,875,0.1563,7,0.0013,661,0.1181
TOTAL,Jun-17,468329,367834,0.7854,7398,0.0158,954,0.0020,24531,0.0524,2968,0.0063,29960,0.0640,93,0.0002,34589,0.0739
